id,age,study_hours,attendance,previous_score,assignment_score,midterm_score,sleep_hours,extracurricular,final_score
633,21,5,80,82,81,82,6,0,74.8
634,21,5,84,74,59,96,7,0,75.7
635,19,5,75,81,62,78,9,0,73.0
636,23,7,79,60,90,82,5,1,78.3
637,19,4,79,68,88,65,5,1,78.7
638,20,6,81,58,61,56,6,1,72.1
639,24,3,87,51,60,79,6,0,63.1
640,25,6,85,75,62,71,9,1,71.9
641,23,5,79,73,84,44,8,0,75.7
642,25,4,68,80,56,62,8,0,66.5
643,24,5,79,78,78,67,6,0,65.0
644,21,5,78,74,84,59,6,1,75.8
645,24,4,80,78,71,93,4,0,78.2
646,20,9,100,69,88,76,8,1,77.5
647,21,5,72,76,67,91,7,1,73.4
648,22,5,83,59,69,72,8,1,71.7
649,25,1,91,76,56,69,6,0,66.7
650,24,3,79,80,88,52,6,1,67.3
651,21,4,100,60,60,68,7,1,65.9
652,23,4,73,71,78,68,8,0,74.0
653,19,8,82,61,71,45,4,1,66.2
654,24,5,68,62,55,59,8,1,67.7
655,22,8,74,53,62,63,6,0,63.2
656,22,5,81,89,94,75,5,1,74.6
657,24,5,88,86,75,76,4,0,78.7
658,23,5,82,78,56,58,6,0,68.4
659,18,5,93,99,77,76,9,1,90.0
660,20,8,77,67,70,65,9,0,74.2
661,19,1,74,99,100,20,7,0,60.5
662,23,1,100,67,77,60,9,0,73.7
663,18,4,83,74,66,86,6,0,65.9
664,19,5,69,64,95,39,8,0,72.7
665,22,6,70,76,43,70,6,1,74.6
666,23,6,67,83,74,95,6,0,83.2
667,22,4,89,68,100,55,6,0,68.5
668,24,7,74,97,70,68,4,1,74.4
669,25,7,80,74,44,46,8,1,67.5
670,19,5,77,74,66,96,6,0,70.0
671,25,7,87,56,95,67,5,0,70.5
672,22,6,68,76,78,69,5,0,74.8
673,23,4,65,68,59,91,6,0,71.5
674,18,6,81,61,61,79,9,0,69.0
675,22,5,85,58,63,53,9,1,71.1
676,23,5,82,99,78,57,4,1,77.2
677,22,8,68,66,93,76,6,0,85.4
678,18,1,86,48,89,57,5,1,62.9
679,22,2,69,60,79,32,8,0,61.2
680,25,3,72,69,51,67,7,0,64.4
681,23,4,67,78,51,43,6,0,63.5
682,19,4,94,78,81,95,7,0,75.1
683,25,2,86,80,50,71,6,1,65.7
684,25,3,85,60,68,53,9,0,64.1
685,19,3,93,75,77,56,7,1,69.4
686,24,10,100,57,54,36,7,0,72.2
687,21,9,57,61,56,49,4,1,67.4
688,22,4,69,56,70,85,6,1,70.4
689,21,4,71,52,80,100,9,0,73.9
690,24,3,68,86,89,80,8,0,72.8
691,25,1,65,80,82,66,4,1,68.9
692,24,5,74,85,73,61,6,1,74.4
693,25,3,63,71,60,52,5,0,53.1
694,25,5,82,82,55,100,9,1,80.9
695,18,2,79,44,64,65,7,0,50.1
696,20,3,84,83,79,100,5,0,77.6
697,23,5,84,73,77,92,7,1,79.4
698,22,6,85,79,38,38,4,0,57.5
699,18,6,74,76,59,57,5,0,73.9
700,18,2,100,55,91,57,7,0,61.4
701,22,7,81,48,73,67,8,0,74.4
702,22,3,56,59,49,67,4,0,64.2
703,19,6,66,78,100,100,6,0,88.7
704,19,5,57,80,72,50,8,1,68.5
705,19,2,78,49,78,72,4,1,56.4
706,22,4,77,55,78,78,7,0,62.9
707,18,6,72,59,66,68,7,0,66.6
708,22,6,100,65,60,70,9,1,73.7
709,21,5,85,50,100,50,6,0,64.5
710,21,8,87,49,88,70,6,0,74.0
711,23,7,67,58,85,77,8,1,76.7
712,22,4,66,71,81,74,5,0,70.8
713,23,7,78,52,56,78,6,1,64.9
714,24,9,80,68,92,92,6,1,84.4
715,25,9,56,86,59,84,6,1,79.4
716,24,3,76,50,77,69,8,0,64.0
717,22,3,78,67,46,48,7,0,65.9
718,21,8,75,85,39,58,5,0,70.2
719,19,3,68,64,77,64,7,1,58.9
720,22,2,72,61,59,72,9,1,66.7
721,19,4,76,87,40,60,5,1,67.1
722,25,6,79,65,81,52,7,0,69.4
723,24,5,85,87,100,48,6,1,71.5
724,18,4,91,76,94,40,6,1,78.7
725,24,4,74,65,68,64,4,1,59.6
726,18,4,73,77,72,43,8,1,70.0
727,23,3,83,75,86,51,5,0,67.0
728,18,10,85,85,90,61,8,0,89.8
729,21,6,73,62,67,45,6,1,72.5
730,23,7,87,71,73,74,6,0,79.2
731,23,4,90,69,77,81,8,0,73.0
732,21,5,94,81,81,59,8,0,81.5
733,25,4,99,55,70,61,7,0,64.3
734,24,1,68,85,70,77,8,1,70.5
735,19,2,78,77,94,56,6,0,61.7
736,23,1,78,50,91,55,6,0,54.3
737,23,1,77,88,80,88,6,1,74.2
738,20,3,70,99,100,83,8,1,85.1
739,23,8,60,85,66,78,6,0,69.5
740,25,5,79,91,98,84,9,0,88.2
741,24,8,69,71,81,34,6,0,64.7
742,24,6,79,45,100,91,7,0,83.3
743,23,7,68,42,53,75,8,0,64.5
744,20,3,65,74,61,85,7,0,63.1
745,24,6,81,61,79,75,6,1,74.9
746,20,6,80,56,78,69,6,1,67.7
747,22,4,85,69,100,63,8,1,82.2
748,20,6,100,79,61,74,6,0,76.4
749,20,6,81,48,86,63,6,0,68.2
750,19,4,84,63,91,83,7,1,79.5
751,25,3,65,93,83,41,8,1,64.5
752,19,3,63,54,57,59,6,1,51.7
753,18,5,97,83,95,100,9,0,91.7
754,25,6,67,63,92,57,6,0,64.9
755,22,3,65,78,82,64,6,1,63.7
756,21,5,78,86,75,53,6,1,76.0
757,23,6,77,81,76,74,5,0,77.5
758,21,6,67,84,71,55,5,1,65.1
759,19,8,74,53,82,65,6,1,70.9
760,23,8,93,87,72,82,8,1,83.9
761,19,3,68,57,58,56,6,0,64.9
762,22,8,61,74,55,81,6,1,79.1
763,25,4,89,74,60,82,8,1,73.3
764,25,7,84,77,76,86,9,0,86.3
765,20,5,71,75,72,70,8,1,67.9
766,24,4,59,57,75,100,5,1,67.6
767,22,1,69,50,80,86,6,1,64.4
768,21,5,77,83,62,74,9,0,77.3
769,19,2,92,73,95,53,7,1,70.3
770,21,7,66,87,68,66,6,0,75.5
771,23,8,77,69,65,92,8,0,81.4
772,25,3,86,49,80,97,8,0,72.1
773,18,6,50,84,43,93,6,0,69.6
774,23,4,90,64,59,81,7,0,68.3
775,24,4,64,75,88,47,8,0,68.5
776,25,7,82,60,44,76,5,1,71.1
777,21,5,81,95,90,47,7,0,76.5
778,18,8,91,57,96,43,5,1,68.5
779,20,4,85,65,66,72,5,0,62.5
780,24,7,50,72,77,77,6,1,76.0
781,25,5,69,54,90,83,7,1,80.8
782,23,7,80,75,65,76,6,1,77.7
783,18,4,76,94,86,77,6,1,77.3
784,18,5,84,63,61,51,7,1,67.2
785,21,5,87,76,64,66,5,0,64.7
786,22,3,85,40,59,42,7,0,59.7
787,18,6,75,69,77,34,8,0,67.4
788,23,6,56,65,91,81,6,0,70.7
789,22,6,73,58,69,55,6,0,64.3
790,18,8,83,86,52,83,7,0,78.0
791,18,8,65,65,55,87,4,1,78.9
792,21,4,86,67,78,57,7,1,69.0
793,23,6,89,64,100,78,9,1,84.6
794,24,4,80,41,78,57,6,1,64.9
795,21,5,50,53,66,37,6,0,50.8
796,20,4,63,84,84,70,8,0,74.5
797,25,8,100,40,68,60,9,1,75.4
798,21,6,71,59,66,61,8,1,62.2
799,20,5,54,64,57,100,4,0,68.6
800,21,7,93,96,95,42,7,0,80.8
801,18,1,78,82,31,75,9,0,63.2
802,20,1,91,62,85,51,7,0,62.8
803,22,7,81,90,65,83,5,0,80.7
804,25,5,84,59,65,73,7,0,75.4
805,23,6,82,85,99,74,5,1,77.1
806,24,2,86,50,61,52,8,1,57.9
807,22,5,100,86,61,55,5,1,75.5
808,18,9,90,64,70,84,7,1,85.5
809,21,7,59,55,79,98,5,1,77.9
810,25,5,83,67,65,76,6,0,83.0
811,18,4,92,74,47,53,9,1,70.7
812,25,4,92,63,58,74,7,0,73.7
813,23,1,73,78,93,100,6,1,74.8
814,20,6,92,61,73,70,5,0,67.1
815,24,7,89,79,79,93,4,1,82.1
816,24,2,100,77,68,55,5,1,69.6
817,18,4,69,69,61,67,7,0,67.3
818,18,3,72,63,99,79,8,0,75.1
819,23,3,74,72,69,75,6,0,66.3
820,25,5,72,78,65,55,9,1,69.6
821,18,1,67,99,90,54,5,1,67.4
822,23,6,50,84,60,85,6,0,75.5
823,19,7,73,85,62,88,5,1,83.1
824,23,4,82,99,72,94,8,0,78.4
825,22,1,72,78,72,99,9,0,76.9
826,18,3,100,77,76,70,4,0,67.5
827,23,7,78,81,100,63,6,1,83.6
828,25,1,93,55,77,91,8,0,68.9
829,24,4,81,63,34,80,4,0,68.0
830,18,3,88,62,77,51,7,0,62.4
831,19,7,81,80,73,50,8,1,76.8
832,19,4,94,67,73,76,7,1,77.1
833,21,6,79,72,76,65,7,1,71.0
834,19,6,84,86,72,68,9,1,80.4
835,24,9,82,83,71,86,9,1,87.8
836,24,5,75,68,82,81,6,0,71.5
837,24,6,83,60,63,91,6,1,73.3
838,19,2,100,87,57,35,5,0,65.7
839,18,7,75,82,100,72,8,0,81.0
840,25,3,83,46,61,80,5,0,64.1
841,20,4,93,65,74,42,6,0,65.4
842,23,5,92,72,48,57,7,1,62.0
843,25,2,78,82,74,54,6,1,68.4
844,18,5,50,84,57,68,7,1,62.3
845,18,7,84,74,65,96,9,0,86.1
846,18,6,51,79,89,100,6,1,79.1
847,19,2,96,71,80,54,6,1,67.4
848,18,5,80,60,81,77,8,0,67.9
849,24,6,90,66,44,77,7,1,72.7
850,22,1,67,70,100,75,9,1,76.4
851,25,3,59,69,53,75,7,0,58.8
852,24,7,81,42,96,73,6,1,72.1
853,25,6,78,64,88,97,4,1,81.3
854,19,6,72,71,81,87,4,0,77.1
855,20,9,79,66,58,50,4,0,57.1
856,24,6,100,66,74,82,7,1,89.2
857,19,6,88,77,64,83,5,1,79.6
858,18,10,91,54,72,73,8,1,85.2
859,23,5,88,46,68,87,7,1,71.6
860,24,3,96,65,39,71,6,1,55.9
861,25,6,76,81,90,71,5,1,81.4
862,25,6,53,95,71,70,7,1,73.8
863,18,4,76,82,64,34,5,1,64.6
864,24,3,88,48,63,67,5,0,59.3
865,24,10,66,67,78,57,8,1,79.8
866,23,6,76,74,58,48,7,1,64.5
867,24,4,70,73,36,92,6,1,71.9
868,24,7,96,78,79,77,7,1,78.5
869,21,5,87,56,80,67,7,1,82.1
870,18,4,86,71,69,58,7,0,78.0
871,21,6,85,76,54,73,5,0,78.4
872,19,2,78,82,73,85,9,0,79.9
873,18,6,80,58,49,54,6,0,61.9
874,18,9,64,65,56,68,9,0,79.4
875,23,6,52,40,60,83,6,0,62.0
876,22,4,80,61,86,35,8,0,56.8
877,22,4,82,62,66,67,8,0,74.5
878,23,4,93,55,65,61,8,1,72.9
879,22,4,97,72,100,66,5,1,76.5
880,23,4,97,69,78,59,8,0,66.4
881,18,7,66,40,77,70,9,0,66.9
882,24,2,74,73,66,100,6,0,62.4
883,21,7,84,56,62,62,7,0,73.6
884,19,4,100,77,37,73,6,0,60.6
885,24,6,96,51,87,100,6,0,81.4
886,23,3,91,70,79,59,9,0,66.9
887,18,8,73,66,69,99,5,1,74.1
888,19,7,67,75,70,68,5,1,74.3
889,18,7,87,72,84,98,9,1,87.2
890,20,2,65,66,47,81,7,0,64.9
891,18,7,75,47,63,73,9,0,64.9
892,23,6,77,48,54,67,6,1,61.5
893,22,2,97,61,100,57,7,0,58.4
894,25,5,74,70,86,69,6,1,63.8
895,23,6,50,61,37,83,7,1,73.2
896,22,6,84,79,48,68,4,1,79.3
897,22,5,70,66,70,63,7,0,67.9
898,18,6,79,56,64,64,7,1,65.4
899,18,8,77,66,51,85,6,0,73.0
900,22,7,75,73,100,89,6,0,87.4
901,18,1,87,75,77,57,5,0,60.4
902,18,4,60,98,80,57,8,1,75.3
903,19,5,72,60,61,74,5,1,66.7
904,25,1,86,69,84,94,7,0,70.1
905,21,5,71,76,66,87,9,0,74.0
906,23,7,59,70,67,47,9,1,71.1
907,21,3,86,62,82,64,4,1,61.9
908,19,6,91,47,46,52,6,0,62.5
909,20,3,77,62,98,63,7,0,67.0
910,18,4,54,54,75,95,6,1,69.7
911,24,8,86,44,92,44,5,1,75.9
912,19,4,58,58,55,40,7,1,55.1
913,21,6,82,54,57,54,6,0,67.3
914,25,1,67,79,53,73,9,0,55.8
915,22,9,64,79,76,79,6,0,78.1
916,21,6,73,56,73,75,8,0,71.8
917,22,5,76,66,65,88,5,1,81.1
918,24,6,70,42,56,38,5,0,45.2
919,20,2,85,63,52,88,8,1,68.0
920,23,7,73,76,71,63,8,1,83.0
921,24,4,90,82,65,80,5,1,71.0
922,22,5,81,59,61,46,7,1,62.8
923,21,4,70,86,97,68,5,1,77.0
924,19,4,68,47,71,72,6,0,63.2
925,19,6,58,51,92,88,8,0,81.7
926,25,6,81,81,63,41,6,0,69.1
927,22,6,74,95,76,69,6,1,85.1
928,20,5,50,77,71,50,5,1,62.1
929,21,6,72,69,45,77,6,0,64.5
930,22,4,67,40,95,81,9,0,69.0
931,22,9,97,40,70,90,7,0,73.7
932,23,2,58,72,84,59,5,0,63.4
933,20,8,61,65,60,84,6,1,72.9
934,23,8,91,53,69,91,4,0,73.1
935,21,3,94,71,58,40,5,1,63.1
936,25,9,69,72,92,78,8,1,80.5
937,19,7,70,84,77,84,6,0,83.4
938,19,7,85,72,78,64,9,0,76.2
939,21,5,50,88,94,47,6,1,75.8
940,22,5,56,70,91,84,6,1,73.4
941,23,5,75,68,84,48,7,0,70.7
942,21,6,97,86,49,65,4,0,72.2
943,25,8,73,55,61,67,7,1,75.0
944,21,5,79,99,56,80,6,1,78.3
945,19,3,92,76,84,57,9,1,66.6
946,18,7,100,76,75,56,8,1,84.2
947,25,7,71,78,50,70,5,1,70.9
948,19,6,78,98,69,85,8,0,86.7
949,25,6,100,82,48,100,6,1,85.1
950,20,4,60,46,71,42,5,0,49.9
951,18,3,90,91,46,73,7,1,67.6
952,20,3,66,65,80,50,6,1,65.4
953,22,2,79,72,78,85,9,1,73.2
954,21,5,75,51,100,52,7,1,73.6
955,24,5,67,78,86,57,7,1,71.9
956,22,4,66,60,65,58,8,1,68.9
957,21,1,81,72,85,67,8,1,71.2
958,23,3,90,66,50,73,8,1,69.3
959,25,7,76,99,57,76,8,0,79.1
960,21,4,79,99,77,68,7,0,77.7
961,19,6,85,71,37,45,7,1,69.6
962,21,2,66,71,71,80,8,1,68.8
963,24,8,87,64,56,67,6,1,76.2
964,19,5,88,87,74,88,7,1,82.7
965,25,6,100,65,55,56,9,0,71.9
966,22,10,73,64,79,41,9,0,83.0
967,22,8,73,85,72,67,6,1,84.7
968,20,4,87,62,94,90,6,0,77.0
969,25,4,88,69,72,71,9,1,75.6
970,18,4,72,46,60,65,8,1,59.6
971,20,6,73,81,68,53,7,1,71.2
972,21,5,84,99,50,98,6,0,81.3
973,21,4,68,81,78,50,7,1,72.6
974,21,8,73,92,81,56,6,0,81.9
975,19,5,79,57,100,78,6,0,69.6
976,19,10,90,74,62,36,7,0,78.3
977,18,5,71,56,68,90,7,0,70.6
978,22,9,56,67,63,79,6,1,71.1
979,20,6,55,82,75,83,8,1,84.4
980,22,7,63,72,78,77,8,0,83.5
981,22,4,62,49,71,65,8,1,65.0
982,23,3,76,50,89,50,6,1,65.5
983,22,6,64,49,62,66,8,1,69.8
984,23,7,70,77,88,51,7,1,81.9
985,22,5,69,99,81,76,5,1,82.2
986,23,2,73,90,72,82,7,0,66.4
987,22,2,94,42,67,93,7,0,75.5
988,20,2,86,91,100,74,9,0,84.6
989,19,1,78,84,59,84,9,1,69.3
990,24,5,72,47,77,63,7,1,61.7
991,20,7,73,65,60,60,7,0,71.1
992,22,5,82,86,100,76,7,0,80.7
993,19,1,85,78,86,61,5,1,68.6
994,21,5,67,50,61,73,4,0,64.4
995,22,5,78,79,80,50,5,1,67.4
996,23,9,54,40,76,53,6,1,60.9
997,22,2,81,67,64,79,4,0,65.1
998,20,4,87,87,84,83,6,0,76.4
999,25,8,75,70,78,51,6,0,73.0
1000,22,6,100,63,75,79,6,0,70.5
